NO,지역,성별,나이,자동차,대중교통,택시,비용,경험,인지,한정도입,완전도입,가구원수,월소득
851,b,F,3,0,4,1,1,0,2,0,1,3,1
852,c,M,4,0,2,1,2,0,2,1,1,3,0
853,e,F,4,0,3,2,1,0,3,1,1,4,1
855,c,F,2,0,4,1,1,0,1,0,0,2,1
856,d,M,4,1,4,1,1,0,1,0,0,4,2
857,b,F,5,0,3,3,1,1,3,1,1,2,1
861,e,F,4,1,3,0,0,0,1,1,1,3,1
862,b,F,3,0,3,1,1,0,1,1,1,1,0
863,c,F,2,0,4,3,1,0,2,1,1,4,2
864,c,F,2,1,3,2,2,1,1,1,0,5,2
865,b,M,5,0,4,2,2,0,2,1,1,4,1
867,b,M,3,0,2,2,0,0,1,0,0,3,0
868,b,F,5,1,2,1,0,0,2,1,1,4,0
869,c,M,3,0,4,3,2,0,3,1,1,4,2
870,b,M,3,1,3,2,1,1,2,1,1,3,1
871,d,M,3,0,4,2,1,1,2,1,1,1,0
872,b,M,4,1,1,1,0,1,2,0,0,5,1
874,d,M,4,1,2,2,0,0,2,0,1,4,2
875,c,M,4,0,4,2,0,0,1,0,0,3,2
876,e,M,4,0,3,1,1,0,2,1,1,1,0
878,d,F,2,0,4,2,2,1,2,1,1,1,0
879,b,F,5,0,4,1,2,0,3,1,1,1,0
880,d,M,4,0,2,0,0,0,1,0,0,1,0
881,b,M,3,1,2,0,0,1,3,1,1,3,0
883,b,M,3,1,4,2,1,0,1,0,0,2,1
884,c,F,2,0,3,2,1,1,1,1,0,2,0
885,d,M,5,1,0,0,NA,1,2,0,1,4,1
886,c,M,2,0,3,2,2,0,1,1,0,4,1
888,e,M,4,1,2,1,0,0,2,1,0,2,1
889,c,M,4,1,3,1,0,1,1,1,1,3,1
890,b,F,2,1,2,2,0,1,2,1,1,1,1
892,b,F,2,0,4,1,1,1,2,1,1,4,1
893,b,F,3,0,3,3,1,1,1,1,0,3,1
894,d,F,4,0,4,0,1,0,2,1,1,2,1
895,d,M,2,1,3,1,1,1,1,1,1,1,0
896,b,F,5,1,4,0,1,0,1,0,0,3,1
897,d,F,5,1,1,0,0,0,2,1,1,4,1
898,b,F,3,0,3,3,1,1,3,1,1,5,2
899,d,M,2,0,4,0,2,0,1,1,0,1,0
900,d,M,3,0,4,2,2,0,3,1,1,4,1
901,d,M,3,0,4,1,0,0,1,0,0,3,1
903,b,M,3,1,4,1,1,0,2,0,1,2,0
905,c,F,2,0,3,1,1,0,1,1,1,4,1
906,c,F,5,1,2,2,0,1,3,1,0,4,2
907,c,M,4,0,4,0,2,0,1,0,0,2,0
911,c,F,3,1,4,1,1,0,4,1,1,5,2
913,c,F,2,0,2,0,0,0,1,1,0,3,2
916,e,F,5,0,4,2,1,0,1,0,0,3,0
917,b,F,4,0,4,0,1,0,2,1,1,3,1
918,b,F,4,0,3,1,1,1,2,1,1,4,0
920,e,M,2,0,4,1,0,0,1,0,0,3,1
922,b,F,4,1,4,1,1,0,1,1,0,2,2
924,b,M,1,1,4,0,1,0,1,0,0,4,2
926,d,F,3,1,4,2,1,0,2,1,1,3,1
927,b,F,2,0,4,3,1,1,1,1,0,3,2
928,e,M,2,0,4,1,2,0,3,1,1,4,1
930,c,F,5,1,3,0,0,1,2,0,1,3,2
933,d,F,3,0,4,0,2,0,1,1,1,2,0
934,b,F,4,1,4,1,2,1,3,1,1,3,2
935,c,F,4,0,3,1,1,0,2,1,1,1,0
936,e,M,3,0,4,1,0,1,1,0,0,4,2
937,d,F,3,0,4,2,1,1,1,0,0,2,1
939,d,F,5,0,4,1,1,1,2,1,1,3,1
941,c,F,3,1,3,1,2,1,1,0,1,5,2
942,b,F,2,0,4,0,1,0,1,1,1,2,1
943,c,F,5,1,2,0,2,1,2,1,1,6,2
944,a,F,5,0,2,0,0,0,1,0,0,2,1
946,d,M,3,1,4,1,1,0,2,1,1,2,2
947,d,F,5,0,3,0,0,0,3,0,1,6,0
948,c,M,3,0,4,2,2,0,1,1,1,3,1
950,b,F,3,0,3,3,1,1,2,1,1,1,0
952,e,M,3,1,3,0,2,1,2,0,1,4,1
953,e,F,2,1,1,2,0,1,2,1,1,2,2
955,b,M,3,1,2,1,0,0,1,0,0,4,1
957,d,M,3,1,2,0,0,0,1,1,0,1,1
958,d,M,5,1,3,1,2,1,3,0,0,2,0
959,c,F,3,0,4,2,1,1,1,0,0,2,2
960,d,F,5,1,2,1,0,1,2,1,1,3,2
962,b,F,2,1,4,2,1,0,2,1,1,3,2
964,c,F,3,0,4,1,1,0,2,1,1,3,2
965,c,M,4,1,3,1,0,0,2,0,0,4,0
966,c,F,4,1,3,1,1,0,2,1,1,4,2
967,e,F,5,1,3,2,0,0,2,1,1,4,0
968,b,M,2,1,3,1,1,0,4,0,1,3,0
971,e,F,2,0,3,2,1,0,1,1,1,1,0
976,b,M,3,0,4,1,1,1,2,1,1,2,0
979,e,M,4,1,4,1,1,0,3,1,1,4,2
980,a,F,4,0,4,1,1,1,2,1,0,2,0
982,c,M,3,1,2,2,1,0,1,0,0,1,1
983,b,M,2,0,4,2,1,0,1,0,1,2,0
985,c,F,3,1,4,1,2,0,1,1,0,3,2
986,b,F,4,0,2,0,0,0,1,1,1,2,1
987,c,F,3,1,4,1,2,0,1,1,1,4,2
990,c,F,5,1,2,0,0,0,1,0,0,3,2
992,c,F,2,0,4,2,2,0,1,1,0,4,1
994,c,M,3,1,4,2,1,0,1,1,1,4,2
995,c,F,5,0,3,2,1,1,2,1,1,4,0
999,b,F,5,0,2,0,0,0,1,0,0,2,1
1000,d,F,5,0,1,2,0,0,3,1,0,2,0
1002,c,M,4,0,3,1,1,0,2,1,1,3,1
1004,b,M,3,0,2,0,0,0,1,0,0,6,2
1005,d,F,2,0,4,3,1,0,1,1,0,1,2
1006,c,F,2,1,3,0,0,1,1,1,1,4,1
1009,d,F,4,1,3,1,0,0,3,0,1,4,1
1011,e,F,2,1,4,1,1,0,1,1,1,4,2
1012,d,F,5,1,4,1,1,1,1,1,1,4,2
1013,d,M,3,0,4,1,1,0,1,0,0,1,0
1014,d,F,5,0,4,2,1,0,2,1,1,4,2
1022,c,F,5,1,3,2,0,0,2,0,0,4,2
1024,b,F,5,0,3,1,0,0,2,1,1,2,0
1025,b,M,3,1,2,1,1,0,2,0,0,1,1
1027,a,M,4,1,3,0,0,0,3,0,0,2,1
1029,d,F,2,0,4,2,1,0,1,1,1,4,2
1031,d,M,5,0,1,0,0,0,1,0,0,3,0
1032,e,F,4,0,4,2,1,0,1,1,1,4,2
1035,b,F,5,1,3,2,0,0,2,0,0,2,2
1037,a,F,5,1,1,2,0,1,4,1,1,4,0
1039,c,F,3,0,4,2,2,0,1,0,0,4,2
1040,c,M,2,0,4,2,2,1,2,1,1,4,0
1042,b,M,2,0,4,0,1,0,3,1,1,4,1
1044,d,M,2,1,4,2,2,1,1,1,1,1,0
1045,b,M,2,1,2,2,2,0,3,1,1,4,2
1048,c,M,2,0,4,2,2,1,1,1,1,5,1
1049,e,M,3,1,4,2,2,1,2,1,1,4,0
1050,c,M,4,1,4,0,1,0,1,0,0,4,2
1051,d,F,4,1,1,1,0,1,1,0,0,3,2
1052,a,F,5,1,2,2,0,0,3,1,1,4,1
1057,b,F,5,1,1,1,1,0,2,1,1,2,1
1058,b,F,5,0,3,2,0,0,2,1,1,4,2
1059,d,M,2,1,3,1,1,0,2,1,0,4,2
1061,c,F,5,1,3,1,0,1,2,1,1,4,1
1063,d,M,3,1,3,3,2,0,2,1,1,1,0
1065,e,F,4,0,4,1,1,0,2,1,1,5,1
1072,d,M,3,1,4,2,2,1,2,1,1,3,1
1073,d,M,5,1,3,0,2,0,2,0,0,4,1
1074,d,F,3,0,2,2,2,1,2,1,1,2,1
1075,d,M,3,1,2,2,1,0,1,0,0,1,2
1078,d,M,3,1,4,1,1,0,1,1,0,4,2
1079,b,F,2,0,4,1,1,1,1,1,1,3,0
1080,e,F,4,0,4,1,1,0,2,1,1,3,0
1082,c,F,4,1,4,1,2,0,1,1,0,3,1
1083,b,M,3,1,1,2,0,0,2,1,1,3,1
1085,b,F,5,0,3,0,0,1,2,0,1,4,1
1086,d,F,4,1,3,1,0,1,3,1,1,4,2
1088,d,F,2,0,2,2,0,1,1,1,0,1,0
1091,b,F,5,1,2,1,0,0,3,1,1,4,1
1092,b,F,2,1,4,3,2,1,2,1,1,4,2
1093,c,M,4,1,3,2,1,0,2,0,0,4,2
1095,d,M,2,1,4,1,1,0,3,1,0,4,2
1096,d,M,5,1,4,1,1,1,3,1,1,4,1
1104,d,F,4,1,4,2,1,0,1,0,0,1,1
1106,d,M,2,0,4,3,1,0,1,0,0,4,0
1107,b,F,3,0,3,2,1,1,1,1,0,2,1
1108,c,M,4,1,3,0,0,0,2,0,0,2,2
1111,b,F,5,0,4,1,2,0,2,1,1,2,1
1113,b,F,5,1,3,1,0,0,1,1,1,4,1
1115,b,F,2,1,3,1,1,0,2,1,1,6,2
1116,d,F,5,0,4,0,1,0,2,0,0,4,1
1117,d,F,2,0,4,1,1,0,1,1,0,5,2
1118,c,M,4,1,3,1,2,1,4,1,1,3,2
1124,c,F,4,0,2,1,0,0,2,0,1,3,1
1129,c,M,2,0,4,2,1,0,1,1,0,4,2
1131,c,F,4,0,2,1,1,0,2,0,1,3,0
1132,d,F,2,0,4,2,2,0,1,1,1,1,0
1133,d,F,4,0,4,0,1,0,2,1,0,1,0
1134,b,M,3,1,2,1,1,1,2,0,0,4,2
1136,e,F,5,1,2,1,0,0,2,1,1,4,2
1138,d,F,3,0,4,1,1,1,2,0,1,2,1
1141,e,F,5,0,3,0,1,1,2,1,1,4,2
1146,b,F,2,1,0,0,NA,1,2,1,1,3,1
1148,c,M,4,1,2,2,0,0,2,0,1,4,2
1151,d,M,5,1,4,2,1,0,3,1,1,3,0
1152,d,F,3,0,4,1,1,1,1,1,0,2,2
1156,a,F,4,0,3,1,1,0,1,1,0,3,1
1163,d,F,5,1,2,0,0,0,2,0,0,4,1
1168,d,M,2,0,4,2,2,1,2,1,1,4,1
1169,d,F,5,1,3,0,0,0,3,1,1,4,1
1170,b,F,2,0,4,1,1,0,1,0,0,2,0
1172,d,F,2,0,4,2,2,0,1,1,0,2,1
1178,b,F,5,1,4,0,1,0,1,1,0,4,2
1185,d,M,5,1,4,1,0,0,1,1,1,3,0
1191,e,F,5,1,2,1,1,0,2,0,0,4,2
1197,d,M,2,0,4,0,0,0,1,0,0,1,0
1203,c,M,2,1,2,2,0,0,1,0,0,1,1
1206,e,F,5,0,3,1,0,1,1,1,1,4,1
1207,d,M,5,1,4,1,1,0,2,0,0,4,2
1209,d,M,5,1,3,2,2,1,3,1,1,2,0
1210,e,F,2,0,2,0,0,0,2,1,1,4,0
1211,c,M,2,0,4,1,2,0,1,1,1,4,1
1212,c,M,2,1,3,2,2,1,4,1,1,4,2
1213,d,F,5,0,3,2,2,0,2,1,1,1,0
1214,e,M,4,1,2,1,0,1,2,1,1,4,1
1215,c,F,4,0,4,2,1,0,1,0,0,2,2
1217,b,F,2,0,3,2,0,1,1,1,0,4,1
1221,b,F,2,0,4,1,1,0,1,1,1,4,0
1225,d,F,3,1,2,2,0,1,3,1,1,3,2
1231,d,F,3,0,4,1,1,0,1,1,0,2,2
1238,d,M,2,0,4,2,2,1,4,1,1,1,0
1241,d,F,3,0,4,2,1,0,1,1,1,1,0
1247,d,F,2,0,4,1,1,0,1,1,0,3,1
1248,d,M,2,1,4,2,1,1,2,1,1,5,0
1250,c,M,2,1,2,0,0,0,2,0,0,3,0
1264,d,M,2,1,3,2,2,1,2,1,1,3,1
1269,b,F,2,0,4,2,1,0,2,0,1,3,2
1283,e,F,1,0,4,1,1,0,2,0,0,5,1
1284,b,F,2,0,4,1,1,0,2,1,1,3,1
1285,c,M,2,0,4,2,1,1,1,1,1,3,1
1291,b,F,2,0,4,1,1,1,1,1,0,3,1
1294,b,F,2,0,3,2,1,0,2,1,1,4,1
1301,e,M,4,1,3,0,1,0,2,1,1,3,1
1321,d,M,2,0,4,1,1,0,1,1,1,1,0
1328,c,F,4,1,2,1,0,0,1,0,0,4,2
1329,e,F,2,0,3,2,1,0,1,1,1,3,0
1332,e,M,2,1,2,1,2,0,2,0,1,4,1
1340,c,F,4,1,3,1,0,1,2,1,1,3,2
1353,c,F,4,1,1,1,0,0,2,1,1,4,2
1357,d,F,2,0,4,0,0,0,1,0,0,4,0
1367,a,F,4,0,4,0,1,0,1,1,1,2,0
1377,d,M,2,0,4,1,1,1,3,1,1,4,1
1383,c,F,4,0,3,2,2,0,3,1,1,2,2
1387,c,M,2,0,4,1,1,0,1,0,0,4,1
1388,c,F,4,1,2,0,1,0,1,1,0,3,2
1389,c,M,2,1,3,2,1,0,2,1,1,4,2
1390,b,M,2,0,4,0,1,0,2,1,0,4,0
1399,d,M,2,1,3,2,2,1,1,0,0,1,1
1408,d,M,2,0,4,1,1,0,1,1,0,4,0
1419,b,M,2,0,3,0,0,0,1,1,1,3,0
1421,c,F,4,0,4,3,2,1,3,1,1,3,0
1427,b,M,1,0,4,3,1,0,1,1,0,2,0
1429,e,F,2,1,3,1,1,1,2,1,1,1,1
1431,b,M,2,1,4,1,2,1,1,1,1,4,2
1445,e,F,2,1,4,2,2,0,1,1,1,4,2
1462,d,M,2,0,3,1,0,1,2,0,0,1,0
1467,c,M,1,0,4,0,0,0,3,0,0,5,1
1472,b,M,2,0,4,2,2,1,1,1,0,4,1
1476,a,F,4,1,2,1,0,0,2,0,0,2,1
1495,d,M,2,0,3,2,1,0,1,0,0,5,0
1499,d,M,2,1,2,1,0,1,1,0,0,1,0
1500,c,F,4,0,4,2,1,0,2,0,1,2,2
1514,e,F,2,0,4,2,1,1,1,1,0,5,0
1515,d,M,2,1,3,2,0,0,1,0,0,4,2
1516,d,M,2,0,3,2,0,0,1,1,1,1,0
1524,e,M,2,0,3,1,0,0,1,1,0,4,0
1549,c,M,2,0,4,2,2,1,1,1,1,1,0
1550,e,M,2,0,4,2,1,0,1,1,1,2,1
1555,c,M,2,1,2,1,1,1,2,1,1,1,0
1597,c,M,2,0,4,0,1,1,2,0,0,4,0
1604,e,M,2,0,4,2,2,1,1,1,1,2,1
1617,b,M,2,1,4,1,1,1,2,0,0,3,1
1622,e,M,2,0,4,2,0,1,1,1,0,5,2
1624,b,M,2,1,4,0,2,0,2,1,1,3,1
1626,b,M,2,0,4,1,1,1,3,1,1,3,2
1632,e,M,2,0,4,2,2,1,2,1,1,7,2
1635,b,M,2,0,4,2,0,1,1,1,1,4,0
1636,b,M,2,0,4,0,1,0,1,1,0,4,2
1644,c,M,2,0,4,1,1,1,1,1,0,3,1
1652,e,M,2,0,4,1,2,0,1,1,0,1,2
1654,c,M,2,0,4,2,1,0,2,1,1,3,2
1655,c,M,2,0,3,2,0,0,1,0,0,3,2
1657,b,M,2,1,4,3,2,1,5,1,1,4,2
1663,b,F,1,0,4,2,0,0,2,1,1,3,2
1666,c,F,1,0,4,0,0,0,1,1,1,2,2
1667,b,M,1,0,1,0,0,1,2,1,1,3,0
1669,a,F,1,0,3,1,0,0,2,0,0,4,1
1675,e,M,1,0,4,0,0,0,1,1,0,4,2
1676,c,F,1,0,4,0,0,0,1,0,1,4,1
1682,a,M,1,0,4,1,0,0,2,0,0,4,1
1683,e,M,1,0,3,1,0,0,1,1,0,5,1
1684,e,F,1,0,4,0,1,0,1,1,0,4,1
1686,a,M,1,0,4,1,2,1,3,1,1,4,0
1701,d,M,1,0,2,0,0,0,1,1,0,4,1
1705,d,M,1,0,4,1,1,0,2,1,1,3,1
1708,c,F,1,0,4,1,1,0,1,1,1,4,0
1709,b,M,2,1,4,2,1,0,2,0,0,4,1
1711,b,M,1,0,4,0,0,0,1,1,0,4,2
1714,b,F,1,0,3,0,1,0,1,0,0,4,1
1717,d,M,1,0,3,2,0,1,1,0,0,2,0
1729,c,F,1,0,4,0,1,1,1,1,1,4,1
1731,d,F,1,0,4,2,1,0,1,1,0,4,1
1733,d,F,1,0,3,1,1,0,2,1,0,4,1
1738,a,F,1,0,4,0,1,0,2,0,1,5,2
1744,c,F,1,1,4,0,1,1,4,1,1,4,2
1746,b,M,2,1,3,1,1,1,2,1,1,4,1
1749,d,F,1,0,4,1,1,0,1,1,0,4,1
1750,c,M,1,0,4,0,0,0,1,0,0,4,0
1751,d,M,1,0,3,0,0,0,1,1,0,3,2
1752,d,F,1,0,4,0,0,0,4,1,1,4,0
1758,c,F,1,0,4,2,1,1,4,1,1,1,0
1761,b,F,1,0,4,2,1,1,2,1,0,3,0
1765,d,M,1,0,2,0,0,0,1,1,1,3,1
1767,d,M,1,0,4,0,0,0,3,1,0,4,1
1776,b,M,1,0,2,0,0,0,1,0,0,1,0
1782,b,F,1,0,3,2,0,0,2,1,0,4,1
1784,d,M,1,0,3,1,0,0,2,0,0,4,2
1789,b,M,1,0,4,2,1,0,2,1,1,3,1
1792,d,F,1,0,4,3,1,0,1,0,0,4,2
1793,c,F,1,0,4,0,0,1,1,0,0,5,1
1794,d,M,1,0,4,1,1,0,2,1,1,4,1
1795,b,F,1,0,4,2,1,0,1,1,1,4,1
1798,d,M,1,0,4,2,0,1,2,1,1,5,1
1799,c,M,1,0,4,1,1,0,2,0,1,4,2
1801,c,F,1,0,3,0,0,0,1,0,0,2,0
1802,d,M,1,0,2,0,0,0,2,0,1,4,0
1803,b,F,1,0,4,2,1,0,1,1,1,4,2
1805,c,F,1,0,4,3,0,0,1,1,0,4,1
1806,e,M,1,0,2,1,0,1,3,0,1,3,2
1807,b,M,1,0,3,0,0,0,1,0,0,4,1
1808,d,F,1,0,3,0,0,1,4,1,1,5,0
1809,b,M,2,0,4,1,1,1,3,1,1,4,2
1810,b,F,1,0,3,0,0,0,1,1,0,4,0
1817,d,F,1,1,4,0,1,0,2,1,0,3,0
1832,e,M,1,0,4,0,0,0,1,0,0,4,1
1843,d,F,1,0,4,0,1,0,3,1,1,7,0
1861,b,F,1,0,4,2,2,0,1,1,1,4,2
1864,b,M,2,0,3,2,2,0,1,0,0,1,2
1874,d,F,1,0,4,1,0,0,1,1,0,5,1
1875,b,M,1,0,4,1,1,0,1,0,0,6,2
1876,b,M,1,0,3,2,0,0,1,0,1,4,0
1877,b,M,1,1,3,2,0,0,4,1,1,4,1
1881,b,M,1,0,3,0,0,0,1,1,1,4,0
1898,b,F,1,1,3,0,0,1,4,1,1,4,0
1921,c,M,1,0,4,0,0,1,3,1,1,5,1
1925,b,F,1,0,4,1,1,0,1,1,0,3,2
1935,b,F,1,0,4,1,1,0,1,1,0,4,2
1937,c,M,1,0,2,1,0,1,2,1,1,4,1
1938,e,F,1,0,4,1,2,0,1,1,1,4,1
1947,c,M,1,1,3,2,2,1,3,1,1,3,2
1982,c,M,1,0,2,1,0,0,2,1,1,4,2
1987,c,M,1,0,4,1,2,0,4,1,1,4,2
